date,AUD,BRL,CAD,CHF,GBP,HKD,INR,JPY,KRW,MXN,NOK,NZD,SEK,SGD,ZAR
2025-02-21,0.00016272619047619046,0.000483984126984127,0.0001129563492063492,1.0083333333333332e-05,0.000178,0.0001591269841269841,0.000294047619047619,9.646825396825397e-06,9.801587301587303e-05,0.0003829960317460318,0.00017332936507936507,0.000148984126984127,8.383730158730158e-05,0.00010703174603174604,0.00029409920634920636
2025-02-24,0.00016281349206349207,0.0004863968253968253,0.00011225,1.057936507936508e-05,0.00017828968253968253,0.0001511904761904762,0.0003071428571428571,9.63888888888889e-06,9.563492063492063e-05,0.0003845357142857143,0.0001738849206349206,0.00014869047619047617,8.467857142857143e-05,0.00010632539682539682,0.0002936547619047619
2025-02-25,0.00016258333333333335,0.000489734126984127,0.00011130952380952382,1.0186507936507937e-05,0.00017837698412698412,0.0001507936507936508,0.0003714285714285714,9.503968253968253e-06,9.603174603174603e-05,0.00038483730158730164,0.00017311111111111113,0.00014874206349206352,8.367857142857142e-05,0.00010596825396825396,0.00029305555555555557
2025-02-26,0.00016248809523809524,0.00047404761904761906,0.00011159920634920634,8.59920634920635e-06,0.00017814285714285716,0.00015277777777777777,0.0003111111111111111,9.773809523809524e-06,9.722222222222223e-05,0.0003814007936507937,0.00017188492063492064,0.00014888095238095237,8.37063492063492e-05,0.00010412698412698413,0.0002932261904761905
2025-02-27,0.00016235714285714285,0.0004963373015873016,0.00011113888888888889,6.873015873015873e-06,0.0001774920634920635,0.00014960317460317458,0.0003051587301587302,8.357142857142858e-06,9.801587301587303e-05,0.0003811190476190476,0.00017061111111111113,0.0001498968253968254,8.299603174603175e-05,0.0001034404761904762,0.0002927579365079365
2025-02-28,0.00016263095238095237,0.0004927261904761905,0.00011005555555555557,6.0952380952380945e-06,0.00017699603174603176,0.00014603174603174603,0.000301984126984127,7.746031746031747e-06,9.96031746031746e-05,0.00038090476190476193,0.00017038492063492063,0.00014952777777777778,8.317460317460317e-05,0.00010325793650793651,0.0002928650793650794
2025-03-03,0.00016280555555555552,0.0004928730158730159,0.00010805952380952382,5.845238095238095e-06,0.000177015873015873,0.00014642857142857144,0.0003063492063492063,7.3849206349206345e-06,0.00010198412698412697,0.0003778373015873016,0.00016940079365079368,0.00014965079365079364,8.293650793650792e-05,0.00010388492063492064,0.00029198015873015874
2025-03-04,0.00016198809523809522,0.0004921785714285715,0.00010874603174603175,4.9444444444444444e-06,0.00017694047619047618,0.00014444444444444446,0.000303968253968254,7.095238095238095e-06,0.00010238095238095239,0.0003805952380952381,0.00016921825396825398,0.00014940476190476192,8.336904761904763e-05,0.00010291666666666667,0.0002915873015873016
2025-03-05,0.00016236111111111112,0.0004975674603174603,0.00010855158730158731,5.837301587301588e-06,0.00017718253968253966,0.00014285714285714287,0.00028888888888888893,7.781746031746032e-06,9.96031746031746e-05,0.0003772380952380952,0.00016929365079365081,0.0001493968253968254,8.432142857142856e-05,0.00010014682539682539,0.0002903571428571429
2025-03-06,0.00016263095238095237,0.0004947539682539683,0.00010911904761904763,6.0079365079365085e-06,0.0001774920634920635,0.00014087301587301586,0.0002976190476190476,7.6071428571428575e-06,9.761904761904762e-05,0.0003727857142857143,0.00016838095238095238,0.00014891666666666666,8.404761904761904e-05,9.717460317460318e-05,0.0002901587301587302
2025-03-07,0.0001623888888888889,0.000495702380952381,0.0001079920634920635,5.503968253968254e-06,0.00017760317460317458,0.00014563492063492063,0.00029007936507936507,7.666666666666667e-06,9.325396825396825e-05,0.00037201587301587303,0.00016827777777777777,0.0001490079365079365,8.418650793650794e-05,9.53452380952381e-05,0.00029135714285714285
2025-03-10,0.00016196031746031748,0.0005011071428571429,0.00010706349206349206,4.813492063492064e-06,0.00017745238095238095,0.00015277777777777777,0.00029880952380952384,7.472222222222222e-06,9.365079365079364e-05,0.000371281746031746,0.00016975,0.00014771825396825398,8.442857142857144e-05,9.682142857142858e-05,0.0002907738095238095
2025-03-11,0.0001615714285714286,0.0005093611111111111,0.00010676190476190475,5.373015873015873e-06,0.00017730952380952384,0.00014920634920634917,0.00029444444444444445,6.861111111111112e-06,9.444444444444444e-05,0.0003755873015873016,0.00016963492063492064,0.00014711111111111112,8.372222222222221e-05,9.617460317460318e-05,0.0002908452380952381
2025-03-12,0.00016302380952380952,0.0005095238095238094,0.00010626190476190476,5.424603174603174e-06,0.00017676587301587303,0.00014523809523809525,0.00029563492063492064,7.464285714285714e-06,9.682539682539682e-05,0.0003755396825396825,0.00016917857142857145,0.0001463611111111111,8.401587301587301e-05,9.548809523809523e-05,0.00029088095238095235
2025-03-13,0.0001631031746031746,0.0005123690476190476,0.00010622222222222222,4.757936507936508e-06,0.00017673809523809523,0.00014166666666666665,0.00029007936507936507,7.246031746031746e-06,9.801587301587303e-05,0.0003706230158730159,0.00016876190476190474,0.00014562301587301587,8.393253968253969e-05,9.89047619047619e-05,0.0002905793650793651
