date,Australia,Brazil,Canada,Hong Kong,India,Japan,Mexico,New Zealand,Norway,Singapore,South Africa,South Korea,Sweden,Switzerland,UK
2022-05-12,0.6881,0.19345,0.76655,,,0.0077255,0.04904,0.62495,0.10136,,0.06195,0.0007754,0.09899,1.0029,1.223
2022-05-13,0.6899,0.1967,0.77365,,,0.007768,0.04945,0.6248,0.10201,,0.061625,,0.0996,1.0008,1.2238
2022-05-15,,0.19695,0.7748,,,,0.0495,,,,0.061675,,0.09939,0.999,1.2262
2022-05-16,0.6893,0.19705,0.77815,,,0.007758,0.04964,0.6239,0.1017,,0.061525,0.0007796,0.09925,0.9974,1.2246
2022-05-17,0.70095,0.2015,0.77975,,,0.0077365,0.04985,0.63265,0.10307,,0.0625,0.0007896,0.10078,1.0087,1.2472
2022-05-18,0.70345,0.19995,0.77615,,,0.0077505,0.04962,0.6343,0.10235,,0.06235,,0.10003,1.0128,1.2402
2022-05-19,0.70005,0.2027,0.78045,,,0.0077785,0.04998,0.6339,0.10275,,0.062825,,0.10095,1.0299,1.2498
2022-05-20,0.7043,0.20445,0.77925,,,0.0078315,0.05013,0.638,0.10265,,0.062725,,0.10046,1.02625,1.2467
2022-05-22,,0.205,0.7803,,,,0.05018,,,,0.06285,,0.10087,1.0266,1.2506
2022-05-23,0.7111,0.20765,0.7826,,,0.0078285,0.05009,0.6453,0.10427,,0.0636,,0.10189,1.0367,1.2575
2022-05-24,0.70845,0.20745,0.78045,,,0.0078435,0.05023,0.6431,0.1045,,0.063475,,0.1024,1.04275,1.252
2022-05-25,0.7108,0.20715,0.7801,,,0.0078765,0.05025,0.6504,0.10397,,0.063425,0.00079,0.10115,1.0398,1.2551
2022-05-26,0.7067,0.20985,0.78245,,,0.00786,0.05041,0.6461,0.10457,,0.06335,0.0007901,0.10135,1.04135,1.2585
2022-05-27,0.7135,0.21095,0.7861,,,0.007887,0.05088,0.6515,0.10577,,0.064125,0.0007982,0.10167,1.04635,1.2613
2022-05-31,,0.2091,0.79125,,,,0.05077,,0.10662,,0.063975,,0.10238,1.04255,1.2609
2022-06-01,0.71675,0.2064,0.7901,,,0.007742,0.05065,0.64865,0.10593,,0.064175,,0.1016,1.0372,1.2484
2022-06-02,0.71585,0.20715,0.79515,,,0.0076925,0.05107,0.64765,0.10603,,0.0646,,0.10265,1.0428,1.255
2022-06-03,0.7257,0.20755,0.7941,,,0.007705,0.05106,0.6556,0.10576,,0.064375,,0.10248,1.0391,1.251
2022-06-05,,0.2081,0.79425,,,,0.05109,,,,0.064275,,0.10254,1.03945,1.2491
2022-06-06,0.72,0.20705,0.7951,,,0.0076575,0.05103,0.6504,0.10639,,0.06495,0.0008,0.10224,1.03215,1.2527
2022-06-07,0.71785,0.2038,0.79805,,,0.0075225,0.05104,0.64705,0.10541,,0.065,,0.10206,1.0285,1.2576
2022-06-08,0.7199,0.20315,0.7968,,,0.0075065,0.05103,0.64575,0.10581,,0.06525,0.0007955,0.1022,1.02615,1.2545
2022-06-09,0.7175,0.20215,0.7875,,,0.007475,0.0508,0.6451,0.10461,,0.064275,0.0007943,0.10124,1.02205,1.2524
2022-06-10,0.71245,0.1993,0.7824,,,0.00752,0.04912,0.6386,0.10346,,0.06255,0.000785,0.10015,1.0179,1.2333
2022-06-12,,0.19855,0.78105,,,,0.04903,,0.10245,,0.062075,,0.09989,1.01705,1.2285
2022-06-13,0.70315,0.19455,0.77545,,,0.0074555,0.04788,0.63205,0.10138,,0.06125,0.000779,0.0985,1.00975,1.2169
2022-06-14,0.6968,0.19385,0.7718,,,0.0074775,0.04757,0.62665,0.10033,,0.06155,,0.09836,1.0076,1.2037
2022-06-15,0.69115,0.1981,0.77575,,,0.007467,0.04834,0.62145,0.09968,,0.0617,,0.09815,1.00635,1.2079
2022-06-16,0.69995,0.19495,0.77335,,,0.0074915,0.0481,0.62795,0.1002,,0.061525,0.0007726,0.0985,1.0382,1.2326
2022-06-17,0.70145,0.19365,0.76765,,,0.0075,0.04826,0.633,0.09981,,0.06185,0.0007725,0.09848,1.0364,1.2234
