ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,symbol
2026-01-25T23:00:16.002105455Z,2026-01-25T23:00:16.001586115Z,1,1,7311,T,B,0,52280.000000000,1,0,12886,46515,52250.000000000,52280.000000000,3,1,3,1,NIYH6
2026-01-25T23:00:18.335065738Z,2026-01-25T23:00:18.334720085Z,1,1,7311,T,A,0,52285.000000000,1,0,13405,49118,52285.000000000,52325.000000000,1,2,1,2,NIYH6
2026-01-25T23:00:18.387232421Z,2026-01-25T23:00:18.386874953Z,1,1,7311,T,A,0,52285.000000000,1,0,13454,49211,52285.000000000,52325.000000000,1,3,1,3,NIYH6
2026-01-25T23:00:20.410068148Z,2026-01-25T23:00:20.409101721Z,1,1,7311,T,N,0,52320.000000000,1,0,13465,50520,52285.000000000,52320.000000000,1,1,1,1,NIYH6
2026-01-25T23:00:20.743757110Z,2026-01-25T23:00:20.741675365Z,1,1,7311,T,B,0,52325.000000000,1,0,12948,51151,52290.000000000,52325.000000000,1,1,1,1,NIYH6
2026-01-25T23:00:21.904810669Z,2026-01-25T23:00:21.902496947Z,1,1,7311,T,A,0,52300.000000000,1,0,13004,58004,52300.000000000,52325.000000000,1,3,1,3,NIYH6
2026-01-25T23:00:22.242331889Z,2026-01-25T23:00:22.241498229Z,1,1,7311,T,N,0,52290.000000000,1,0,13717,59120,52290.000000000,52325.000000000,1,3,1,3,NIYH6
2026-01-25T23:00:22.809560507Z,2026-01-25T23:00:22.808817215Z,1,1,7311,T,A,0,52300.000000000,1,0,13012,59669,52300.000000000,52325.000000000,1,3,1,3,NIYH6
2026-01-25T23:00:24.422136147Z,2026-01-25T23:00:24.421810137Z,1,1,7311,T,B,0,52305.000000000,2,0,13170,62009,52280.000000000,52305.000000000,1,2,1,2,NIYH6
2026-01-25T23:00:25.944997406Z,2026-01-25T23:00:25.944217615Z,1,1,7311,T,A,0,52300.000000000,1,0,13161,63908,52300.000000000,52315.000000000,1,1,1,1,NIYH6
2026-01-25T23:00:25.956132855Z,2026-01-25T23:00:25.955837893Z,1,1,7311,T,B,0,52310.000000000,1,0,13488,64027,52280.000000000,52310.000000000,1,2,1,2,NIYH6
2026-01-25T23:00:25.965160993Z,2026-01-25T23:00:25.964897025Z,1,1,7311,T,B,0,52310.000000000,1,0,13389,64033,52280.000000000,52310.000000000,1,1,1,1,NIYH6
2026-01-25T23:00:26.720662511Z,2026-01-25T23:00:26.720378439Z,1,1,7311,T,A,0,52315.000000000,1,0,13362,64999,52315.000000000,52325.000000000,1,2,1,2,NIYH6
2026-01-25T23:00:27.220154205Z,2026-01-25T23:00:27.219287219Z,1,1,7311,T,N,0,52260.000000000,1,0,13170,65775,52260.000000000,52275.000000000,1,1,1,1,NIYH6
2026-01-25T23:00:31.927912119Z,2026-01-25T23:00:31.923791425Z,1,1,7311,T,A,0,52225.000000000,1,0,12692,70664,52225.000000000,52275.000000000,1,3,1,3,NIYH6
2026-01-25T23:00:33.899366227Z,2026-01-25T23:00:33.898922763Z,1,1,7311,T,A,0,52205.000000000,1,0,15592,72164,52205.000000000,52220.000000000,1,7,1,2,NIYH6
2026-01-25T23:00:35.553131951Z,2026-01-25T23:00:35.551809213Z,1,1,7311,T,B,0,52215.000000000,1,0,16123,72779,52180.000000000,52215.000000000,2,1,2,1,NIYH6
